student_id,age,gender,ethnicity,family_income,parent_education,family_size,single_parent,gpa_previous_year,attendance_rate,disciplinary_incidents,extracurricular_activities,school_type,class_size,teacher_student_ratio,absences_last_semester,late_arrivals,homework_completion_rate,counseling_sessions,tutoring_hours,free_lunch_eligible,dropout_risk
STU_00025,15,Male,Black,15000.0,Some College,4,0,3.84,0.856,2,2,Public,26,0.033,6,6,0.633,1.0,2.0,0,1
STU_00026,16,Male,White,68076.0,,1,0,3.63,0.774,2,3,Public,22,0.035,9,5,0.572,0.0,2.0,1,0
STU_00027,14,Male,Black,21557.0,Some College,4,0,2.07,0.775,1,1,Charter,34,0.077,7,3,0.945,1.0,2.0,1,1
STU_00028,17,Male,White,33523.0,High School,7,0,4.0,0.768,1,2,Public,34,0.068,8,8,0.906,2.0,3.0,1,0
STU_00029,15,Male,White,118675.0,Graduate Degree,4,0,4.0,0.706,1,1,Private,26,0.051,10,5,0.831,0.0,3.0,1,0
STU_00030,16,Female,Black,54558.0,High School,1,0,2.58,0.603,1,0,Charter,20,0.053,8,3,0.723,,3.0,0,0
STU_00031,15,Male,White,15000.0,Bachelor's Degree,4,0,3.13,0.858,0,0,Public,22,0.058,6,7,0.796,0.0,4.0,0,1
STU_00032,19,Male,Other,15000.0,Graduate Degree,7,0,2.91,0.87,1,1,Private,25,0.069,7,4,0.666,2.0,2.0,0,0
STU_00033,16,Female,White,34494.0,Some College,5,0,4.0,0.885,0,1,Public,21,0.073,8,3,0.829,1.0,4.0,1,0
STU_00034,14,Female,Asian,15000.0,High School,1,0,1.69,0.867,0,0,Public,25,0.078,6,7,0.913,1.0,2.0,0,1
STU_00035,17,Female,Asian,61013.0,Bachelor's Degree,1,0,2.62,0.804,1,2,Public,21,0.086,9,3,0.904,4.0,4.0,0,1
STU_00036,14,Male,White,37564.0,Bachelor's Degree,3,1,3.54,0.56,1,1,Public,23,0.079,10,6,0.465,3.0,6.0,0,1
STU_00037,16,Female,Black,41453.0,,2,0,3.45,0.921,1,1,Public,27,0.056,5,4,0.682,1.0,3.0,0,0
STU_00038,14,Female,White,20632.0,Less than High School,4,0,2.77,0.822,2,3,Public,23,0.033,5,6,0.615,1.0,6.0,1,0
STU_00039,14,Male,Asian,146255.0,High School,3,0,3.91,0.901,3,1,Public,23,0.044,7,4,0.76,2.0,2.0,1,0
STU_00040,16,Male,Hispanic,150000.0,Less than High School,1,0,2.99,0.829,1,0,Public,24,0.03,4,4,0.818,1.0,3.0,1,0
STU_00041,17,Female,Black,29060.0,High School,5,0,2.89,0.762,0,2,Private,22,0.104,7,4,0.776,2.0,3.0,1,1
STU_00042,16,Female,Hispanic,48167.0,High School,6,0,3.36,0.803,3,2,Private,22,0.085,7,4,0.687,3.0,6.0,1,0
STU_00043,16,Female,White,39259.0,Some College,5,1,2.75,0.719,1,1,Public,37,0.05,8,5,0.857,2.0,1.0,1,0
STU_00044,16,Female,White,29503.0,Graduate Degree,4,1,2.84,0.94,1,1,Public,22,0.072,7,8,0.748,2.0,2.0,1,0
STU_00045,14,Female,White,18664.0,Some College,3,0,2.17,0.905,1,0,Public,27,0.057,6,5,0.681,3.0,3.0,0,0
STU_00046,15,Female,Black,15245.0,Graduate Degree,4,1,4.0,0.541,1,3,Public,20,0.075,12,3,0.863,2.0,2.0,0,0
STU_00047,15,Male,Hispanic,15000.0,,3,0,2.42,0.61,0,0,Public,16,0.071,9,1,0.829,1.0,5.0,1,0
STU_00048,18,Male,Hispanic,50221.0,Bachelor's Degree,2,1,3.38,0.932,2,2,Public,21,0.058,3,5,0.708,3.0,5.0,0,0
STU_00049,17,Male,White,23963.0,High School,2,0,4.0,0.746,2,1,Public,25,0.063,10,6,0.835,2.0,7.0,0,1
STU_00050,14,Female,Hispanic,15000.0,High School,3,0,1.73,0.711,3,1,Public,21,0.049,9,6,0.963,0.0,3.0,0,1
STU_00051,16,Female,White,51838.0,Bachelor's Degree,4,0,3.29,0.888,2,1,Public,17,0.071,10,8,0.843,1.0,3.0,0,0
STU_00052,15,Female,Black,35221.0,Graduate Degree,3,0,2.82,0.854,2,1,Public,23,0.03,8,3,0.713,2.0,4.0,0,0
STU_00053,15,Male,Other,106653.0,Some College,1,0,4.0,0.438,1,1,Public,25,0.069,5,6,0.697,1.0,3.0,1,0
STU_00054,17,Female,White,48947.0,Less than High School,3,0,2.07,0.681,2,3,Private,29,0.03,9,2,0.832,3.0,2.0,1,0
STU_00055,18,Male,White,15000.0,Bachelor's Degree,8,0,2.2,0.871,1,1,Charter,25,0.06,10,5,0.617,1.0,2.0,0,0
STU_00056,17,Male,White,15000.0,High School,4,0,2.76,0.906,2,1,Private,21,0.062,5,6,0.763,2.0,3.0,0,0
STU_00057,15,Female,Hispanic,20423.0,Less than High School,3,1,2.41,0.806,2,1,Public,31,0.065,4,1,0.777,2.0,2.0,0,0
STU_00058,16,Female,Hispanic,22025.0,Bachelor's Degree,6,0,2.43,0.878,0,0,Public,34,0.044,7,4,0.634,2.0,2.0,1,0
STU_00059,16,Female,Black,77229.0,,4,0,4.0,0.785,2,0,Public,26,0.044,9,4,0.766,3.0,2.0,1,0
STU_00060,17,Male,White,36059.0,,1,0,2.9,0.948,1,1,Private,32,0.069,14,7,0.806,,3.0,0,0
STU_00061,15,Female,Black,89945.0,,5,1,2.17,0.783,0,1,Public,29,0.049,9,1,0.761,3.0,1.0,1,0
STU_00062,16,Male,Hispanic,15000.0,Some College,3,0,2.49,0.784,0,1,Charter,35,0.079,11,3,0.915,1.0,1.0,1,1
STU_00063,14,Male,White,78607.0,Some College,6,0,3.12,0.828,1,2,Public,26,0.059,6,6,0.925,2.0,3.0,1,0
STU_00064,14,Female,Hispanic,64653.0,High School,6,1,3.07,0.985,1,0,Public,29,0.06,7,2,0.754,2.0,5.0,1,0
STU_00065,17,Female,White,15000.0,High School,4,1,2.34,0.845,1,2,Public,32,0.058,5,5,0.476,0.0,3.0,1,0
STU_00066,18,Female,Hispanic,104620.0,Bachelor's Degree,4,0,1.5,0.884,1,0,Public,25,0.067,11,5,0.916,2.0,1.0,0,0
STU_00067,16,Male,Asian,,High School,6,0,2.76,0.757,2,3,Public,29,0.06,10,1,0.687,2.0,4.0,0,0
STU_00068,18,Female,White,49694.0,High School,4,0,2.74,0.887,2,0,Public,25,0.066,6,6,0.807,2.0,2.0,0,0
STU_00069,17,Male,Black,18180.0,Less than High School,2,0,2.28,0.81,2,1,Private,22,0.095,13,4,0.889,1.0,2.0,0,0
STU_00070,15,Female,Hispanic,100730.0,Some College,3,1,3.82,0.774,1,2,Public,18,0.094,4,2,0.868,1.0,3.0,0,1
STU_00071,17,Male,White,15000.0,Some College,5,0,3.26,0.842,0,1,Private,31,0.074,6,3,0.766,5.0,1.0,0,0
STU_00072,18,Male,Hispanic,70663.0,Some College,2,0,2.91,0.754,1,3,Private,33,0.03,6,6,0.784,3.0,5.0,0,0
STU_00073,16,Female,Hispanic,70016.0,Some College,3,1,2.51,0.866,0,2,Public,24,0.045,12,5,0.795,4.0,6.0,0,0
STU_00074,18,Female,White,16658.0,Less than High School,3,0,4.0,0.913,1,2,Public,21,0.063,7,5,0.683,2.0,,1,0
STU_00075,14,Male,White,150000.0,Some College,6,0,1.88,0.836,2,2,Private,28,0.049,13,5,0.736,3.0,0.0,1,1
STU_00076,17,Male,White,43705.0,Graduate Degree,1,0,2.4,0.86,1,1,Private,27,0.068,8,7,0.955,2.0,2.0,1,0
STU_00077,16,Female,White,61274.0,High School,4,0,2.44,0.643,2,2,Public,17,0.06,10,4,0.591,3.0,2.0,1,0
STU_00078,16,Male,White,15000.0,Some College,2,0,3.04,0.924,1,1,Public,32,0.058,10,2,0.424,1.0,2.0,0,0
STU_00079,16,Male,White,150000.0,Some College,4,0,3.33,0.825,2,2,Public,22,0.056,6,6,0.574,4.0,2.0,1,1
STU_00080,14,Male,White,15000.0,Bachelor's Degree,2,0,1.73,0.784,1,1,Charter,24,0.035,5,4,0.636,2.0,1.0,1,0
STU_00081,16,Male,Asian,82447.0,High School,3,0,2.25,0.696,1,2,Public,22,0.056,12,9,0.736,0.0,4.0,0,1
STU_00082,17,Female,White,16386.0,Graduate Degree,2,0,3.16,0.943,0,2,Public,20,0.083,6,5,0.612,4.0,1.0,1,0
STU_00083,18,Female,Black,22133.0,Some College,2,0,2.27,0.894,0,0,Private,15,0.063,9,6,0.798,3.0,3.0,1,0
STU_00084,15,Female,Hispanic,68255.0,Bachelor's Degree,3,0,2.48,0.696,1,1,Public,26,0.078,9,5,0.763,0.0,4.0,0,1
STU_00085,15,Female,Black,82623.0,High School,1,1,2.94,0.945,1,0,Public,19,0.065,5,9,0.787,5.0,4.0,1,0
STU_00086,15,Male,White,15000.0,Bachelor's Degree,5,0,2.02,0.591,1,1,Private,28,0.072,7,8,0.872,6.0,1.0,0,0
STU_00087,17,Male,Asian,86888.0,Bachelor's Degree,7,0,3.02,0.481,1,0,Public,25,0.083,9,6,0.803,3.0,4.0,0,0
STU_00088,16,Male,Hispanic,83783.0,High School,1,0,3.29,0.442,1,3,Private,24,0.046,9,2,0.85,2.0,2.0,0,0
STU_00089,15,Male,Black,17148.0,High School,3,1,2.83,0.865,0,2,Public,24,0.082,8,6,0.885,2.0,5.0,1,0
STU_00090,17,Male,White,130473.0,Some College,4,0,3.94,0.962,1,0,Public,28,0.03,3,7,0.848,2.0,4.0,0,0
STU_00091,16,Female,White,15000.0,Less than High School,2,0,3.38,0.88,3,1,Private,26,0.054,10,5,0.6,2.0,1.0,0,0
STU_00092,17,Female,Hispanic,22030.0,Bachelor's Degree,1,1,2.77,0.747,0,1,Private,32,0.104,6,4,0.822,3.0,5.0,0,1
STU_00093,15,Male,White,,,3,1,2.54,0.79,2,0,Public,21,0.059,5,2,0.527,2.0,2.0,1,0
STU_00094,16,Female,Hispanic,18346.0,High School,3,0,4.0,0.827,0,2,Public,35,0.083,8,3,0.867,0.0,3.0,1,0
STU_00095,15,Female,White,44849.0,,4,0,2.27,0.791,3,1,Charter,33,0.067,8,4,0.797,3.0,2.0,0,0
STU_00096,14,Female,Hispanic,44040.0,Less than High School,2,1,2.58,0.965,3,0,Public,31,0.069,5,5,0.795,2.0,1.0,1,1
STU_00097,16,Female,Other,31268.0,Graduate Degree,2,0,2.47,0.942,2,3,Charter,24,0.037,11,4,0.56,2.0,3.0,1,0
STU_00098,16,Female,Hispanic,70680.0,Bachelor's Degree,4,1,3.12,0.677,1,2,Public,29,0.058,5,5,0.363,2.0,3.0,1,0
STU_00099,16,Female,Black,30252.0,,4,1,4.0,0.703,0,1,Public,28,0.044,6,4,0.907,2.0,1.0,0,1
STU_00100,16,Female,Hispanic,43706.0,Bachelor's Degree,4,0,3.0,0.812,1,0,Public,21,0.081,15,7,0.659,1.0,,1,0
STU_00101,14,Female,Hispanic,90869.0,Bachelor's Degree,3,1,2.54,0.632,5,1,Public,21,0.085,14,7,0.627,5.0,,0,1
STU_00102,15,Male,Asian,,,1,0,2.95,0.962,2,0,Public,24,0.052,7,3,0.598,1.0,0.0,0,0
STU_00103,15,Male,Asian,68106.0,,4,1,1.75,0.821,2,0,Public,17,0.055,13,10,0.534,1.0,6.0,1,0
STU_00104,15,Female,Black,15000.0,High School,5,0,2.65,0.984,2,1,Public,21,0.084,4,3,0.75,2.0,2.0,1,1
STU_00105,16,Male,White,55262.0,High School,3,0,4.0,0.405,1,1,Public,23,0.03,6,6,0.757,3.0,3.0,1,0
STU_00106,17,Male,Hispanic,17983.0,Some College,5,1,3.33,0.89,2,0,Charter,27,0.083,11,1,0.918,1.0,3.0,1,0
STU_00107,19,Female,White,15000.0,Bachelor's Degree,1,0,3.78,0.895,3,0,Public,27,0.06,11,7,0.793,2.0,2.0,1,0
STU_00108,16,Male,White,34291.0,Less than High School,4,1,3.61,0.829,2,0,Charter,16,0.063,10,3,0.873,2.0,3.0,0,0
STU_00109,16,Female,Hispanic,17616.0,High School,3,0,2.23,0.971,1,4,Public,32,0.061,7,6,0.921,1.0,7.0,1,0
STU_00110,16,Female,Black,68357.0,Some College,2,0,4.0,0.755,1,1,Public,18,0.096,7,7,0.772,4.0,6.0,1,0
STU_00111,14,Female,Asian,69677.0,High School,3,0,1.38,0.786,3,1,Public,17,0.059,10,5,0.594,3.0,3.0,0,0
STU_00112,16,Female,White,15000.0,Bachelor's Degree,2,1,3.07,0.594,2,1,Public,28,0.034,5,6,0.91,1.0,5.0,0,1
STU_00113,16,Male,White,18720.0,Some College,2,0,1.15,0.794,1,0,Public,31,0.059,12,9,0.803,2.0,2.0,1,1
STU_00114,19,Female,Asian,15000.0,High School,4,1,1.43,0.927,0,1,Public,25,0.057,6,4,0.79,1.0,3.0,0,0
STU_00115,16,Female,White,25082.0,Less than High School,3,0,3.55,0.722,3,0,Public,27,0.055,7,2,0.711,4.0,5.0,1,0
STU_00116,16,Female,Hispanic,52268.0,Some College,3,0,2.25,0.795,1,1,Public,29,0.084,10,7,0.892,4.0,4.0,1,0
STU_00117,16,Male,White,29917.0,Some College,3,1,3.8,0.709,3,3,Public,25,0.066,7,4,0.902,0.0,2.0,1,0
STU_00118,14,Male,White,22656.0,High School,4,0,1.06,0.941,2,0,Public,27,0.074,5,4,0.302,3.0,2.0,1,1
STU_00119,18,Female,Other,102759.0,High School,3,0,2.73,0.882,2,0,Private,23,0.03,5,2,0.791,4.0,3.0,1,0
STU_00120,17,Male,White,15000.0,High School,3,1,1.83,0.721,1,1,Public,24,0.057,14,6,0.844,2.0,2.0,0,1
STU_00121,17,Female,White,97684.0,Less than High School,3,0,2.54,0.851,0,0,Public,29,0.054,5,8,0.633,,3.0,1,0
STU_00122,15,Male,White,23496.0,Some College,2,1,4.0,0.885,1,2,Charter,31,0.088,11,2,0.868,0.0,2.0,1,0
STU_00123,18,Male,Asian,34116.0,Bachelor's Degree,4,1,4.0,0.9,1,2,Public,24,0.087,5,6,0.889,0.0,2.0,1,0
STU_00124,14,Male,Asian,23816.0,Some College,4,0,3.21,0.964,2,3,Private,21,0.081,7,7,0.724,3.0,5.0,1,0
STU_00125,17,Male,White,124780.0,Bachelor's Degree,3,1,1.52,0.808,0,2,Private,38,0.056,5,5,0.314,3.0,1.0,1,1
STU_00126,19,Female,White,15000.0,Less than High School,3,0,1.83,0.929,3,2,Charter,26,0.041,8,8,0.432,2.0,1.0,0,0
STU_00127,15,Female,Hispanic,,High School,3,0,2.93,0.801,1,3,Public,16,0.051,13,10,0.76,0.0,,0,0
STU_00128,15,Male,White,55379.0,Some College,3,0,2.16,0.833,0,1,Public,22,0.058,10,2,0.539,2.0,4.0,0,0
STU_00129,16,Female,Hispanic,15000.0,Some College,5,1,3.33,0.883,2,0,Public,15,0.064,7,4,0.707,1.0,2.0,0,0
STU_00130,15,Male,White,17397.0,Some College,3,1,4.0,0.911,1,2,Charter,26,0.064,5,1,0.672,,4.0,0,0
STU_00131,14,Female,White,32256.0,Bachelor's Degree,3,0,2.01,0.804,0,2,Public,26,0.061,6,7,0.711,0.0,1.0,1,0
STU_00132,16,Male,Hispanic,17866.0,Some College,4,0,2.08,0.79,1,4,Public,25,0.06,5,9,0.599,1.0,4.0,0,1
STU_00133,14,Female,White,18912.0,Less than High School,1,0,1.86,0.74,0,4,Public,23,0.08,6,4,0.732,4.0,2.0,0,1
STU_00134,17,Female,Asian,27450.0,Some College,2,0,2.6,0.82,0,2,Public,25,0.065,8,2,0.824,1.0,2.0,0,0
STU_00135,15,Female,White,61063.0,Bachelor's Degree,5,1,2.84,0.806,0,1,Public,28,0.051,3,8,0.708,0.0,1.0,0,0
STU_00136,18,Female,White,27607.0,Graduate Degree,5,0,2.82,0.882,1,4,Public,30,0.067,5,11,0.81,5.0,3.0,1,0
STU_00137,15,Female,Other,86055.0,,4,1,3.52,0.897,1,2,Public,24,0.076,13,4,0.768,0.0,2.0,0,0
STU_00138,16,Female,White,16347.0,Some College,4,0,3.11,0.841,1,3,Public,27,0.1,8,4,0.738,1.0,3.0,0,0
STU_00139,17,Female,Black,15000.0,Some College,1,0,2.75,0.933,0,2,Private,29,0.051,9,6,0.878,2.0,3.0,1,0
STU_00140,14,Female,White,150000.0,Bachelor's Degree,4,0,2.83,0.932,1,2,Public,31,0.044,7,5,0.729,0.0,,0,0
STU_00141,16,Female,Hispanic,21453.0,Graduate Degree,1,0,2.87,0.901,2,3,Public,22,0.066,7,3,0.742,1.0,3.0,1,0
STU_00142,18,Male,Black,15000.0,Bachelor's Degree,5,0,2.75,0.871,0,3,Public,34,0.043,6,5,0.505,1.0,2.0,0,0
STU_00143,14,Female,White,15000.0,Some College,1,1,2.26,0.758,0,1,Public,30,0.065,6,4,0.664,4.0,,0,1
STU_00144,16,Male,Black,85826.0,Less than High School,4,0,1.84,0.511,1,3,Private,25,0.091,4,2,0.612,3.0,3.0,0,0
STU_00145,16,Female,Hispanic,27638.0,Bachelor's Degree,3,0,2.91,0.934,1,2,Private,25,0.042,8,5,0.503,0.0,4.0,0,0
STU_00146,17,Female,White,29645.0,Bachelor's Degree,5,0,2.4,0.854,0,1,Public,26,0.055,4,4,0.788,1.0,2.0,0,0
STU_00147,14,Female,Hispanic,,Bachelor's Degree,1,1,3.22,0.902,1,3,Public,20,0.062,9,7,0.953,4.0,3.0,1,0
STU_00148,14,Male,Hispanic,81663.0,Less than High School,3,1,2.86,0.824,1,2,Public,21,0.072,5,2,0.976,7.0,2.0,0,0
STU_00149,17,Male,White,31457.0,,3,0,2.81,0.763,0,1,Private,19,0.045,10,5,0.844,0.0,4.0,0,1
STU_00150,16,Female,White,150000.0,High School,5,1,3.59,0.509,1,2,Public,28,0.092,10,2,0.899,,0.0,0,0
STU_00151,16,Female,White,40417.0,Bachelor's Degree,6,0,1.68,0.727,2,2,Private,24,0.074,11,5,0.917,3.0,4.0,1,1
STU_00152,17,Male,White,84917.0,High School,3,0,4.0,0.932,2,1,Public,27,0.067,10,1,0.708,2.0,0.0,0,0
STU_00153,15,Male,Black,69161.0,Some College,1,1,1.05,0.744,2,2,Public,30,0.052,6,4,0.831,3.0,4.0,0,1
STU_00154,16,Female,Hispanic,35272.0,High School,2,0,3.96,0.402,3,0,Public,30,0.03,12,5,0.784,1.0,1.0,1,0
STU_00155,16,Female,Asian,22707.0,Less than High School,3,1,2.96,0.964,0,2,Public,15,0.047,12,4,0.758,2.0,3.0,1,0
STU_00156,15,Male,White,47362.0,Some College,2,1,2.38,0.611,4,1,Private,24,0.063,2,8,0.679,3.0,1.0,1,0
STU_00157,19,Male,White,54616.0,,3,0,1.62,0.795,1,1,Public,18,0.08,10,4,0.8,0.0,3.0,0,0
STU_00158,17,Male,Black,22970.0,Some College,2,0,2.32,0.681,0,0,Public,22,0.081,8,4,0.794,1.0,2.0,1,0
STU_00159,14,Female,Hispanic,41484.0,Graduate Degree,5,0,2.67,0.601,2,2,Private,15,0.071,5,6,0.899,4.0,6.0,1,1
STU_00160,17,Male,Hispanic,97632.0,Graduate Degree,2,0,2.96,0.734,5,1,Public,29,0.049,5,5,0.521,1.0,,0,0
STU_00161,15,Male,White,150000.0,High School,4,1,3.96,0.598,2,1,Charter,16,0.12,11,5,0.692,,,0,0
STU_00162,17,Male,White,71933.0,Bachelor's Degree,5,1,2.86,0.815,0,0,Public,20,0.052,11,3,0.937,1.0,4.0,1,0
STU_00163,18,Male,White,150000.0,High School,3,0,3.06,0.701,0,2,Public,20,0.088,8,6,0.895,4.0,2.0,1,0
STU_00164,15,Female,Other,21950.0,Graduate Degree,4,1,3.08,0.671,1,3,Charter,30,0.064,5,6,0.665,3.0,1.0,0,0
STU_00165,17,Male,White,63672.0,Bachelor's Degree,7,0,2.54,0.72,2,2,Public,26,0.046,8,8,0.83,1.0,3.0,1,0
STU_00166,17,Male,Asian,105960.0,Less than High School,5,0,2.65,0.777,1,0,Charter,22,0.062,6,5,0.599,2.0,,0,0
STU_00167,17,Male,Hispanic,17729.0,,4,0,2.71,0.922,1,4,Charter,19,0.051,6,1,0.856,2.0,1.0,0,1
STU_00168,19,Male,White,24625.0,High School,1,0,3.3,0.826,0,0,Public,27,0.03,6,5,0.806,2.0,0.0,0,0
STU_00169,16,Male,Hispanic,145849.0,Bachelor's Degree,3,1,2.07,0.95,4,1,Public,16,0.062,8,4,0.82,0.0,0.0,1,0
STU_00170,15,Female,Black,16646.0,High School,1,1,2.39,0.719,1,1,Public,21,0.048,4,5,0.467,2.0,3.0,1,0
STU_00171,15,Female,Asian,15000.0,Some College,5,1,3.09,0.759,1,2,Public,34,0.03,6,8,0.843,2.0,4.0,1,0
STU_00172,15,Female,White,123301.0,Some College,5,0,1.94,0.763,3,1,Public,30,0.03,12,9,0.766,4.0,,0,0
STU_00173,16,Female,White,94600.0,Graduate Degree,3,1,2.89,0.76,0,2,Public,18,0.054,7,3,0.772,3.0,4.0,0,1
STU_00174,17,Female,White,51313.0,Graduate Degree,2,0,2.36,0.579,1,1,Public,31,0.03,10,6,0.763,,7.0,0,0
STU_00175,16,Male,White,35011.0,High School,3,0,3.2,0.932,1,3,Public,25,0.04,8,6,0.78,0.0,3.0,0,0
STU_00176,17,Female,Hispanic,25570.0,Bachelor's Degree,5,1,3.9,0.897,2,1,Charter,29,0.038,7,6,0.852,1.0,2.0,1,0
STU_00177,16,Female,Asian,45504.0,Bachelor's Degree,3,0,2.36,0.882,2,1,Private,27,0.095,2,4,0.774,1.0,1.0,0,0
STU_00178,18,Female,White,128521.0,Bachelor's Degree,2,0,3.41,0.736,3,0,Public,24,0.073,7,5,0.585,1.0,4.0,1,0
STU_00179,16,Female,Black,43952.0,Less than High School,4,0,2.96,0.874,1,4,Public,26,0.054,9,2,0.532,1.0,6.0,1,0
STU_00180,19,Male,Hispanic,,High School,1,1,2.49,0.88,0,0,Charter,31,0.053,4,6,0.66,2.0,,0,0
STU_00181,17,Female,White,17706.0,High School,1,0,2.81,0.85,1,2,Public,33,0.054,10,3,0.569,2.0,4.0,0,0
STU_00182,15,Female,White,,,5,0,3.84,0.766,0,1,Public,26,0.052,5,5,0.845,3.0,0.0,0,0
STU_00183,14,Female,Black,26945.0,High School,3,0,2.66,0.744,2,1,Public,21,0.065,5,8,0.874,1.0,1.0,1,0
STU_00184,17,Male,Asian,15243.0,Some College,5,0,3.85,0.781,1,1,Public,25,0.043,15,5,0.71,2.0,3.0,1,0
STU_00185,16,Male,Hispanic,32130.0,Some College,2,0,2.7,0.941,1,0,Public,36,0.034,9,6,0.654,2.0,6.0,1,0
STU_00186,17,Male,White,50709.0,Some College,6,1,1.67,0.793,1,1,Public,29,0.08,10,2,0.526,0.0,2.0,1,0
STU_00187,17,Female,White,55237.0,Some College,5,0,2.68,0.877,1,0,Public,29,0.042,11,5,0.666,1.0,2.0,0,1
STU_00188,16,Male,White,,Less than High School,3,1,1.61,0.899,1,3,Public,26,0.072,9,5,0.826,4.0,5.0,1,1
STU_00189,15,Male,Hispanic,52658.0,Bachelor's Degree,6,0,2.55,0.702,2,2,Private,29,0.04,14,4,0.63,3.0,7.0,0,0
STU_00190,14,Female,Black,91136.0,Graduate Degree,1,0,2.52,0.724,2,2,Public,23,0.075,11,6,0.558,2.0,3.0,0,0
STU_00191,15,Male,White,38287.0,Some College,5,1,4.0,0.765,2,0,Public,27,0.051,8,7,0.847,1.0,3.0,0,0
STU_00192,17,Female,Black,139030.0,Bachelor's Degree,1,0,4.0,0.939,2,1,Public,20,0.053,13,6,0.823,3.0,3.0,1,0
STU_00193,16,Male,Hispanic,150000.0,Less than High School,5,0,2.87,0.836,3,2,Public,19,0.073,5,5,0.667,3.0,6.0,0,0
STU_00194,14,Female,Hispanic,55541.0,Bachelor's Degree,2,1,3.77,0.75,1,2,Public,20,0.085,7,4,0.7,2.0,2.0,0,0
STU_00195,16,Female,Other,16414.0,,5,0,2.48,0.686,0,2,Public,31,0.068,6,3,0.904,0.0,6.0,0,1
STU_00196,17,Female,White,23411.0,High School,3,0,1.66,0.971,2,2,Public,19,0.062,5,6,0.606,2.0,,1,1
STU_00197,15,Female,Asian,45504.0,,5,0,3.22,0.944,5,0,Public,35,0.045,11,5,0.641,3.0,3.0,0,0
